Year,Trial,ID,Block,NumPlants,Location,ArcSine,Surface,ArcSine2
2018,5,1,1,2,Top,0.785398163,New Growth,0.615479709
2018,5,2,1,4,Top,0.905600272,New Growth,0.451633441
2018,5,5,1,4,Top,1.570796327,New Growth,0.563942641
2018,5,6,1,2,Top,0.735314453,New Growth,0
2018,5,7,1,3,Top,0.830915552,New Growth,0.440510663
2018,5,8,1,3,Top,1.264518958,New Growth,0.549467245
2018,5,9,1,3,Top,1.570796327,New Growth,0.684719203
2018,5,10,2,3,Top,1.18319964,New Growth,0.785398163
2018,5,11,2,4,Top,0.785398163,New Growth,0.225513406
2018,5,15,2,2,Top,1.249045772,New Growth,0.57963974
2018,5,17,2,2,Top,0.811726118,New Growth,0
2018,5,18,2,3,Top,0.901832253,New Growth,0.588002604
2018,5,20,3,3,Top,1.570796327,New Growth,0.729727656
2018,5,21,3,3,Top,0.647284848,New Growth,0.306277369
2018,5,23,3,2,Top,0.93774449,New Growth,0.397699415
2018,5,24,3,2,Top,0.911738291,New Growth,0.593199776
2018,5,25,3,3,Top,1.570796327,New Growth,0.420534335
2018,5,26,3,2,Top,0.997593018,New Growth,0.433537909
2018,5,27,3,4,Top,0.997593018,New Growth,0.350105778
2018,6,2,1,4,Top,1.034734837,New Growth,0
2018,6,5,1,3,Top,1.289761425,New Growth,0.668964074
2018,6,7,1,2,Top,0.869122203,New Growth,0.292842772
2018,6,11,2,3,Top,1.277953555,New Growth,0.615479709
2018,6,12,2,4,Top,0.955316618,New Growth,0
2018,6,14,2,3,Top,1.249045772,New Growth,0.321750554
2018,6,19,3,2,Top,0.684719203,New Growth,0
2018,6,20,3,3,Top,1.570796327,New Growth,1.006853685
2018,6,22,3,3,Top,1.230959417,New Growth,0.841068671
2018,6,23,3,4,Top,1.028157225,New Growth,0.615479709
2018,6,25,3,4,Top,1.277953555,New Growth,0.420534335
2018,6,26,3,2,Top,1.570796327,New Growth,0.886077124
2018,6,28,4,2,Top,1.150261992,New Growth,0.615479709
2018,6,29,4,4,Top,0.923511479,New Growth,0.647284848
2018,6,30,4,4,Top,1.220690549,New Growth,0.350105778
2018,6,33,4,3,Top,1.277953555,New Growth,0.785398163
2018,6,34,4,2,Top,0.785398163,New Growth,0.252680255
2018,6,36,4,2,Top,1.18319964,New Growth,0
2018,6,37,5,4,Top,1.570796327,New Growth,0
2018,6,38,5,3,Top,1.570796327,New Growth,0.523598776
2018,6,39,5,2,Top,0.857071948,New Growth,0.387596687
2018,6,40,5,2,Top,0.955316618,New Growth,0.542639102
2018,6,41,5,2,Top,0.886077124,New Growth,0
2018,6,42,5,4,Top,1.047197551,New Growth,0.523598776
2018,6,43,5,3,Top,1.047197551,New Growth,0.684719203
2018,6,45,5,3,Top,1.570796327,New Growth,0.684719203
2018,6,47,6,3,Top,0.869122203,New Growth,0
2018,6,50,6,4,Top,1.570796327,New Growth,0.387596687
2018,6,51,6,4,Top,0.696698361,New Growth,0
2018,6,52,6,4,Top,1.570796327,New Growth,0.463647609
2018,6,53,6,3,Top,0.785398163,New Growth,0
2018,6,54,6,3,Top,0.841068671,New Growth,0
2018,6,55,7,3,Top,1.570796327,New Growth,0.841068671
2018,6,56,7,3,Top,1.570796327,New Growth,0
2018,6,58,7,3,Top,1.162158472,New Growth,0.231477364
2018,6,60,7,2,Top,1.570796327,New Growth,0.563942641
2018,6,67,8,2,Top,0.991156586,New Growth,0.463647609
2018,6,69,8,3,Top,0.841068671,New Growth,0.339836909
2018,6,70,8,4,Top,0.869122203,New Growth,0
2018,6,72,8,3,Top,0.997593018,New Growth,0.573203309
2018,6,73,9,2,Top,0.955316618,New Growth,0.701674124
2018,6,77,9,4,Top,1.289761425,New Growth,0.746898593
2018,6,79,9,3,Top,1.209429203,New Growth,0
2018,6,80,9,3,Top,1.047197551,New Growth,0.292842772
2018,7,1,1,2,Top,0.615479709,New Growth,0
2018,7,2,1,4,Top,0.785398163,New Growth,0.481275374
2018,7,3,1,2,Top,1.18319964,New Growth,0.640522313
2018,7,5,1,3,Top,1.150261992,New Growth,0.785398163
2018,7,9,1,4,Top,0.420534335,New Growth,0
2018,7,11,3,2,Top,0.923511479,New Growth,0.440510663
2018,7,12,3,3,Top,0.841068671,New Growth,0.490882678
2018,7,13,3,3,Top,1.006853685,New Growth,0.563942641
2018,7,15,3,2,Top,0.447832397,New Growth,0
2018,7,16,3,4,Top,1.570796327,New Growth,0.785398163
2018,7,17,3,4,Top,1.570796327,New Growth,0.523598776
2018,7,18,3,4,Top,1.061056648,New Growth,0.713724379
2018,7,20,4,4,Top,1.230959417,New Growth,0.785398163
2018,7,21,4,3,Top,0.75596941,New Growth,0.433537909
2018,7,22,4,3,Top,0.982793723,New Growth,0.281034902
2018,7,23,4,3,Top,1.570796327,New Growth,0.886077124
2018,7,26,4,2,Top,1.047197551,New Growth,0.701674124
2018,7,28,6,2,Top,1.107148718,New Growth,0.542639102
2018,7,30,6,4,Top,0.886077124,New Growth,0.321750554
2018,7,31,6,4,Top,1.015675159,New Growth,0.420534335
2018,7,33,6,2,Top,0.901832253,New Growth,0.403057074
2018,7,35,6,3,Top,0.886077124,New Growth,0.373792175
2018,5,1,1,2,Middle,0.420534335,Top,0.292842772
2018,5,2,1,4,Middle,0.563942641,Top,0.563942641
2018,5,5,1,4,Middle,0,Top,0.713724379
2018,5,6,1,2,Middle,0.57963974,Top,0.523598776
2018,5,7,1,3,Middle,0.440510663,Top,0.549467245
2018,5,8,1,3,Middle,0,Top,0.306277369
2018,5,9,1,3,Middle,0,Top,0.57963974
2018,5,10,2,3,Middle,0.387596687,Top,0.270549763
2018,5,11,2,4,Middle,0.57963974,Top,0.463647609
2018,5,15,2,2,Middle,0.321750554,Top,0.684719203
2018,5,17,2,2,Middle,0.706119023,Top,0.231477364
2018,5,18,2,3,Middle,0.588002604,Top,0.501093013
2018,5,20,3,3,Middle,0,Top,0.615479709
2018,5,21,3,3,Middle,0.785398163,Top,0.440510663
2018,5,23,3,2,Middle,0.633051836,Top,0.57963974
2018,5,24,3,2,Middle,0.593199776,Top,0.252680255
2018,5,25,3,3,Middle,0,Top,0.785398163
2018,5,26,3,2,Middle,0.573203309,Top,0.350105778
2018,5,27,3,4,Middle,0.506444643,Top,0.244978663
2018,6,2,1,4,Middle,0.430173859,Top,0.430173859
2018,6,5,1,3,Middle,0,Top,0.403057074
2018,6,7,1,2,Middle,0.523598776,Top,0.701674124
2018,6,11,2,3,Middle,0.292842772,Top,0.292842772
2018,6,12,2,4,Middle,0.339836909,Top,0.490882678
2018,6,14,2,3,Middle,0.321750554,Top,0.321750554
2018,6,19,3,2,Middle,0.684719203,Top,0.684719203
2018,6,20,3,3,Middle,0,Top,0.563942641
2018,6,22,3,3,Middle,0.339836909,Top,0.339836909
2018,6,23,3,4,Middle,0.463647609,Top,0.463647609
2018,6,25,3,4,Middle,0.292842772,Top,0.292842772
2018,6,26,3,2,Middle,0,Top,0.463647609
2018,6,28,4,2,Middle,0.420534335,Top,0.292842772
2018,6,29,4,4,Middle,0.549467245,Top,0.306277369
2018,6,30,4,4,Middle,0.350105778,Top,0.244978663
2018,6,33,4,3,Middle,0.292842772,Top,0.292842772
2018,6,34,4,2,Middle,0.659058036,Top,0.361367124
2018,6,36,4,2,Middle,0.387596687,Top,0.387596687
2018,6,37,5,4,Middle,0,Top,1.006853685
2018,6,38,5,3,Middle,0,Top,0.420534335
2018,6,39,5,2,Middle,0.713724379,Top,0.481275374
2018,6,40,5,2,Middle,0.463647609,Top,0.373792175
2018,6,41,5,2,Middle,0.261157411,Top,0.261157411
2018,6,42,5,4,Middle,0.523598776,Top,0.292842772
2018,6,43,5,3,Middle,0.523598776,Top,0.225513406
2018,6,45,5,3,Middle,0,Top,0.463647609
2018,6,47,6,3,Middle,0.701674124,Top,0.420534335
2018,6,50,6,4,Middle,0,Top,0.387596687
2018,6,51,6,4,Middle,0.814826916,Top,0.433537909
2018,6,52,6,4,Middle,0,Top,0.463647609
2018,6,53,6,3,Middle,0.785398163,Top,0.659058036
2018,6,54,6,3,Middle,0.729727656,Top,0.339836909
2018,6,55,7,3,Middle,0,Top,0.490882678
2018,6,56,7,3,Middle,0,Top,0.420534335
2018,6,58,7,3,Middle,0.408637855,Top,0.330422648
2018,6,60,7,2,Middle,0,Top,0.387596687
2018,6,67,8,2,Middle,0.57963974,Top,0.321750554
2018,6,69,8,3,Middle,0.615479709,Top,0.615479709
2018,6,70,8,4,Middle,0.523598776,Top,0.292842772
2018,6,72,8,3,Middle,0.573203309,Top,0.244978663
2018,6,73,9,2,Middle,0.523598776,Top,0.292842772
2018,6,77,9,4,Middle,0.281034902,Top,0.281034902
2018,6,79,9,3,Middle,0.361367124,Top,0.523598776
2018,6,80,9,3,Middle,0,Top,0.523598776
2018,7,1,1,2,Middle,0.955316618,Top,0.490882678
2018,7,2,1,4,Middle,0.713724379,Top,0.387596687
2018,7,3,1,2,Middle,0.387596687,Top,0.481275374
2018,7,5,1,3,Middle,0.420534335,Top,0.615479709
2018,7,9,1,4,Middle,0.615479709,Top,0.615479709
2018,7,11,3,2,Middle,0.647284848,Top,0.306277369
2018,7,12,3,3,Middle,0.490882678,Top,0.237941125
2018,7,13,3,3,Middle,0.563942641,Top,0.387596687
2018,7,15,3,2,Middle,0.911738291,Top,0.252680255
2018,7,16,3,4,Middle,0,Top,0.270549763
2018,7,17,3,4,Middle,0,Top,0.361367124
2018,7,18,3,4,Middle,0.387596687,Top,0.451633441
2018,7,20,4,4,Middle,0.339836909,Top,0.237941125
2018,7,21,4,3,Middle,0.636132063,Top,0.244978663
2018,7,22,4,3,Middle,0.403057074,Top,0.281034902
2018,7,23,4,3,Middle,0,Top,0.542639102
2018,7,26,4,2,Middle,0.292842772,Top,0.615479709
2018,7,28,6,2,Middle,0.463647609,Top,0.261157411
2018,7,30,6,4,Middle,0.684719203,Top,0.463647609
2018,7,31,6,4,Middle,0.555121168,Top,0.339836909
2018,7,33,6,2,Middle,0.501093013,Top,0.403057074
2018,7,35,6,3,Middle,0.615479709,Top,0.373792175
2018,5,1,1,2,Bottom,0.615479709,Underside,0.869122203
2018,5,2,1,4,Bottom,0.313727886,Underside,0.761579632
2018,5,5,1,4,Bottom,0,Underside,0.563942641
2018,5,6,1,2,Bottom,0.463647609,Underside,1.047197551
2018,5,7,1,3,Bottom,0.549467245,Underside,0.830915552
2018,5,8,1,3,Bottom,0.306277369,Underside,0.923511479
2018,5,9,1,3,Bottom,0,Underside,0.57963974
2018,5,10,2,3,Bottom,0,Underside,0.713724379
2018,5,11,2,4,Bottom,0.463647609,Underside,1.047197551
2018,5,15,2,2,Bottom,0,Underside,0.57963974
2018,5,17,2,2,Bottom,0.231477364,Underside,1.162158472
2018,5,18,2,3,Bottom,0,Underside,0.746898593
2018,5,20,3,3,Bottom,0,Underside,0.490882678
2018,5,21,3,3,Bottom,0.378228192,Underside,0.923511479
2018,5,23,3,2,Bottom,0,Underside,0.835481874
2018,5,24,3,2,Bottom,0.252680255,Underside,0.911738291
2018,5,25,3,3,Bottom,0,Underside,0.615479709
2018,5,26,3,2,Bottom,0,Underside,0.874097966
2018,5,27,3,4,Bottom,0,Underside,1.137258417
2018,6,2,1,4,Bottom,0.299334026,Underside,1.08574654
2018,6,5,1,3,Bottom,0.281034902,Underside,0.668964074
2018,6,7,1,2,Bottom,0.292842772,Underside,0.785398163
2018,6,11,2,3,Bottom,0,Underside,0.869122203
2018,6,12,2,4,Bottom,0.490882678,Underside,1.079913649
2018,6,14,2,3,Bottom,0,Underside,1.107148718
2018,6,19,3,2,Bottom,0,Underside,0.886077124
2018,6,20,3,3,Bottom,0,Underside,0
2018,6,22,3,3,Bottom,0,Underside,0.615479709
2018,6,23,3,4,Bottom,0,Underside,0.752040089
2018,6,25,3,4,Bottom,0,Underside,1.047197551
2018,6,26,3,2,Bottom,0,Underside,0.463647609
2018,6,28,4,2,Bottom,0,Underside,0.869122203
2018,6,29,4,4,Bottom,0.306277369,Underside,0.830915552
2018,6,30,4,4,Bottom,0,Underside,1.137258417
2018,6,33,4,3,Bottom,0,Underside,0.701674124
2018,6,34,4,2,Bottom,0.252680255,Underside,1.12296393
2018,6,36,4,2,Bottom,0,Underside,1.18319964
2018,6,37,5,4,Bottom,0,Underside,0.563942641
2018,6,38,5,3,Bottom,0,Underside,0.869122203
2018,6,39,5,2,Bottom,0,Underside,0.930274014
2018,6,40,5,2,Bottom,0.373792175,Underside,0.818756238
2018,6,41,5,2,Bottom,0.615479709,Underside,1.309638916
2018,6,42,5,4,Bottom,0,Underside,0.955316618
2018,6,43,5,3,Bottom,0,Underside,0.785398163
2018,6,45,5,3,Bottom,0,Underside,0.684719203
2018,6,47,6,3,Bottom,0,Underside,1.150261992
2018,6,50,6,4,Bottom,0,Underside,1.006853685
2018,6,51,6,4,Bottom,0.244978663,Underside,1.064351683
2018,6,52,6,4,Bottom,0,Underside,0.886077124
2018,6,53,6,3,Bottom,0,Underside,0.911738291
2018,6,54,6,3,Bottom,0,Underside,1.230959417
2018,6,55,7,3,Bottom,0,Underside,0.490882678
2018,6,56,7,3,Bottom,0,Underside,1.150261992
2018,6,58,7,3,Bottom,0,Underside,1.162158472
2018,6,60,7,2,Bottom,0,Underside,0.713724379
2018,6,67,8,2,Bottom,0,Underside,0.991156586
2018,6,69,8,3,Bottom,0,Underside,0.841068671
2018,6,70,8,4,Bottom,0.420534335,Underside,1.277953555
2018,6,72,8,3,Bottom,0,Underside,0.934664264
2018,6,73,9,2,Bottom,0.292842772,Underside,0.785398163
2018,6,77,9,4,Bottom,0,Underside,0.746898593
2018,6,79,9,3,Bottom,0,Underside,1.047197551
2018,6,80,9,3,Bottom,0.523598776,Underside,0.869122203
2018,7,1,1,2,Bottom,0,Underside,1.079913649
2018,7,2,1,4,Bottom,0,Underside,0.930274014
2018,7,3,1,2,Bottom,0,Underside,0.713724379
2018,7,5,1,3,Bottom,0,Underside,0.420534335
2018,7,9,1,4,Bottom,0.785398163,Underside,0.955316618
2018,7,11,3,2,Bottom,0,Underside,0.923511479
2018,7,12,3,3,Bottom,0.490882678,Underside,1.015675159
2018,7,13,3,3,Bottom,0,Underside,0.857071948
2018,7,15,3,2,Bottom,0.361367124,Underside,1.318116072
2018,7,16,3,4,Bottom,0,Underside,0.713724379
2018,7,17,3,4,Bottom,0,Underside,0.911738291
2018,7,18,3,4,Bottom,0.313727886,Underside,0.563942641
2018,7,20,4,4,Bottom,0,Underside,0.729727656
2018,7,21,4,3,Bottom,0.433537909,Underside,1.064351683
2018,7,22,4,3,Bottom,0.403057074,Underside,1.069703314
2018,7,23,4,3,Bottom,0,Underside,0.373792175
2018,7,26,4,2,Bottom,0.420534335,Underside,0.523598776
2018,7,28,6,2,Bottom,0,Underside,0.955316618
2018,7,30,6,4,Bottom,0,Underside,0.991156586
2018,7,31,6,4,Bottom,0,Underside,0.89744471
2018,7,33,6,2,Bottom,0.403057074,Underside,0.901832253
2018,7,35,6,3,Bottom,0.261157411,Underside,1.028157225
