Year,Trial,ID,Block,NumPlants,Instar,Move,Abandon
2017,1,1,1,4,1,0,0
2017,1,1,1,4,2,0,0
2017,1,1,1,4,3,0,0
2017,1,1,1,4,4,2,2
2017,1,1,1,4,5,3,2
2017,1,2,1,3,1,0,0
2017,1,2,1,3,2,0,0
2017,1,2,1,3,3,0,0
2017,1,2,1,3,4,2,1
2017,1,2,1,3,5,1,1
2017,1,3,1,2,1,0,0
2017,1,3,1,2,2,0,0
2017,1,3,1,2,3,0,0
2017,1,3,1,2,4,1,1
2017,1,3,1,2,5,3,2
2017,1,4,1,3,1,0,0
2017,1,4,1,3,2,0,0
2017,1,4,1,3,3,0,0
2017,1,4,1,3,4,1,1
2017,1,4,1,3,5,3,2
2017,1,5,1,4,1,0,0
2017,1,5,1,4,2,0,0
2017,1,5,1,4,3,0,0
2017,1,5,1,4,4,2,2
2017,1,5,1,4,5,4,3
2017,1,9,1,2,1,0,0
2017,1,9,1,2,2,0,0
2017,1,9,1,2,3,0,0
2017,1,9,1,2,4,1,1
2017,1,9,1,2,5,3,2
2017,1,10,2,4,1,0,0
2017,1,10,2,4,2,0,0
2017,1,10,2,4,3,1,1
2017,1,10,2,4,4,1,1
2017,1,10,2,4,5,0,0
2017,1,11,2,2,1,0,0
2017,1,11,2,2,2,0,0
2017,1,11,2,2,3,0,0
2017,1,11,2,2,4,0,0
2017,1,11,2,2,5,1,1
2017,1,12,2,2,1,0,0
2017,1,12,2,2,2,0,0
2017,1,12,2,2,3,0,0
2017,1,12,2,2,4,1,1
2017,1,12,2,2,5,1,1
2017,1,13,2,3,1,0,0
2017,1,13,2,3,2,0,0
2017,1,13,2,3,3,0,0
2017,1,13,2,3,4,1,1
2017,1,13,2,3,5,3,3
2017,1,15,2,2,1,0,0
2017,1,15,2,2,2,0,0
2017,1,15,2,2,3,1,1
2017,1,15,2,2,4,2,2
2017,1,15,2,2,5,2,2
2017,1,19,3,3,1,0,0
2017,1,19,3,3,2,0,0
2017,1,19,3,3,3,0,0
2017,1,19,3,3,4,0,0
2017,1,19,3,3,5,8,4
2017,1,21,3,2,1,0,0
2017,1,21,3,2,2,0,0
2017,1,21,3,2,3,1,1
2017,1,21,3,2,4,1,1
2017,1,21,3,2,5,2,2
2017,1,23,3,3,1,0,0
2017,1,23,3,3,2,0,0
2017,1,23,3,3,3,1,1
2017,1,23,3,3,4,1,0
2017,1,23,3,3,5,3,2
2017,1,25,3,4,1,0,0
2017,1,25,3,4,2,0,0
2017,1,25,3,4,3,0,0
2017,1,25,3,4,4,0,0
2017,1,25,3,4,5,3,3
2017,1,26,3,2,1,0,0
2017,1,26,3,2,2,0,0
2017,1,26,3,2,3,1,1
2017,1,26,3,2,4,1,0
2017,1,26,3,2,5,4,4
2017,2,2,1,4,1,0,0
2017,2,2,1,4,2,0,0
2017,2,2,1,4,3,1,1
2017,2,2,1,4,4,0,0
2017,2,2,1,4,5,1,1
2017,2,3,1,3,1,0,0
2017,2,3,1,3,2,0,0
2017,2,3,1,3,3,0,0
2017,2,3,1,3,4,1,1
2017,2,3,1,3,5,4,3
2017,2,4,1,4,1,0,0
2017,2,4,1,4,2,0,0
2017,2,4,1,4,3,1,1
2017,2,4,1,4,4,0,0
2017,2,4,1,4,5,2,2
2017,2,5,1,2,1,0,0
2017,2,5,1,2,2,0,0
2017,2,5,1,2,3,2,1
2017,2,5,1,2,4,1,1
2017,2,5,1,2,5,4,2
2017,2,7,1,3,1,0,0
2017,2,7,1,3,2,0,0
2017,2,7,1,3,3,0,0
2017,2,7,1,3,4,1,1
2017,2,7,1,3,5,2,2
2017,2,9,1,2,1,0,0
2017,2,9,1,2,2,0,0
2017,2,9,1,2,3,0,0
2017,2,9,1,2,4,1,1
2017,2,9,1,2,5,2,2
2017,2,10,2,2,1,0,0
2017,2,10,2,2,2,0,0
2017,2,10,2,2,3,2,1
2017,2,10,2,2,4,1,1
2017,2,10,2,2,5,3,2
2017,2,11,2,4,1,0,0
2017,2,11,2,4,2,0,0
2017,2,11,2,4,3,0,0
2017,2,11,2,4,4,1,1
2017,2,11,2,4,5,1,1
2017,2,14,2,2,1,0,0
2017,2,14,2,2,2,0,0
2017,2,14,2,2,3,1,1
2017,2,14,2,2,4,2,1
2017,2,14,2,2,5,3,2
2017,2,15,2,4,1,0,0
2017,2,15,2,4,2,0,0
2017,2,15,2,4,3,1,1
2017,2,15,2,4,4,3,2
2017,2,15,2,4,5,2,1
2017,2,16,2,4,1,0,0
2017,2,16,2,4,2,0,0
2017,2,16,2,4,3,0,0
2017,2,16,2,4,4,0,0
2017,2,16,2,4,5,1,1
2017,2,17,2,3,1,0,0
2017,2,17,2,3,2,0,0
2017,2,17,2,3,3,0,0
2017,2,17,2,3,4,0,0
2017,2,17,2,3,5,3,3
2017,2,20,3,4,1,0,0
2017,2,20,3,4,2,0,0
2017,2,20,3,4,3,1,1
2017,2,20,3,4,4,2,1
2017,2,20,3,4,5,5,3
2017,2,21,3,2,1,0,0
2017,2,21,3,2,2,0,0
2017,2,21,3,2,3,0,0
2017,2,21,3,2,4,1,1
2017,2,21,3,2,5,0,0
2017,2,22,3,3,1,0,0
2017,2,22,3,3,2,0,0
2017,2,22,3,3,3,0,0
2017,2,22,3,3,4,0,0
2017,2,22,3,3,5,4,3
2017,2,24,3,2,1,0,0
2017,2,24,3,2,2,0,0
2017,2,24,3,2,3,0,0
2017,2,24,3,2,4,1,1
2017,2,24,3,2,5,4,2
2017,2,25,3,4,1,0,0
2017,2,25,3,4,2,0,0
2017,2,25,3,4,3,0,0
2017,2,25,3,4,4,0,0
2017,2,25,3,4,5,2,1
2017,2,26,3,2,1,0,0
2017,2,26,3,2,2,0,0
2017,2,26,3,2,3,0,0
2017,2,26,3,2,4,0,0
2017,2,26,3,2,5,3,2
2017,3,2,1,3,1,0,0
2017,3,2,1,3,2,0,0
2017,3,2,1,3,3,0,0
2017,3,2,1,3,4,1,1
2017,3,2,1,3,5,3,2
2017,3,3,1,2,1,0,0
2017,3,3,1,2,2,0,0
2017,3,3,1,2,3,0,0
2017,3,3,1,2,4,0,0
2017,3,3,1,2,5,2,2
2017,3,5,1,2,1,0,0
2017,3,5,1,2,2,0,0
2017,3,5,1,2,3,0,0
2017,3,5,1,2,4,0,0
2017,3,5,1,2,5,2,2
2017,3,6,1,2,1,0,0
2017,3,6,1,2,2,0,0
2017,3,6,1,2,3,0,0
2017,3,6,1,2,4,1,1
2017,3,6,1,2,5,2,1
2017,3,7,1,3,1,0,0
2017,3,7,1,3,2,0,0
2017,3,7,1,3,3,0,0
2017,3,7,1,3,4,0,0
2017,3,7,1,3,5,1,1
2017,3,8,1,4,1,0,0
2017,3,8,1,4,2,0,0
2017,3,8,1,4,3,1,1
2017,3,8,1,4,4,0,0
2017,3,8,1,4,5,2,2
2017,3,12,2,4,1,0,0
2017,3,12,2,4,2,0,0
2017,3,12,2,4,3,0,0
2017,3,12,2,4,4,0,0
2017,3,12,2,4,5,3,3
2017,3,13,2,2,1,0,0
2017,3,13,2,2,2,0,0
2017,3,13,2,2,3,0,0
2017,3,13,2,2,4,1,1
2017,3,13,2,2,5,2,1
2017,3,14,2,3,1,0,0
2017,3,14,2,3,2,0,0
2017,3,14,2,3,3,0,0
2017,3,14,2,3,4,2,2
2017,3,14,2,3,5,2,2
2017,3,15,2,4,1,0,0
2017,3,15,2,4,2,0,0
2017,3,15,2,4,3,0,0
2017,3,15,2,4,4,0,0
2017,3,15,2,4,5,1,1
2017,3,16,2,4,1,0,0
2017,3,16,2,4,2,0,0
2017,3,16,2,4,3,0,0
2017,3,16,2,4,4,0,0
2017,3,16,2,4,5,2,2
2017,3,17,2,2,1,0,0
2017,3,17,2,2,2,0,0
2017,3,17,2,2,3,0,0
2017,3,17,2,2,4,0,0
2017,3,17,2,2,5,5,3
2017,3,18,2,3,1,0,0
2017,3,18,2,3,2,0,0
2017,3,18,2,3,3,0,0
2017,3,18,2,3,4,0,0
2017,3,18,2,3,5,3,3
2017,3,19,3,4,1,0,0
2017,3,19,3,4,2,0,0
2017,3,19,3,4,3,0,0
2017,3,19,3,4,4,0,0
2017,3,19,3,4,5,3,3
2017,3,20,3,4,1,1,1
2017,3,20,3,4,2,0,0
2017,3,20,3,4,3,0,0
2017,3,20,3,4,4,1,1
2017,3,20,3,4,5,1,1
2017,3,21,3,3,1,0,0
2017,3,21,3,3,2,0,0
2017,3,21,3,3,3,0,0
2017,3,21,3,3,4,2,1
2017,3,21,3,3,5,1,1
2017,3,22,3,4,1,0,0
2017,3,22,3,4,2,0,0
2017,3,22,3,4,3,0,0
2017,3,22,3,4,4,0,0
2017,3,22,3,4,5,3,2
2017,3,23,3,2,1,0,0
2017,3,23,3,2,2,1,1
2017,3,23,3,2,3,0,0
2017,3,23,3,2,4,0,0
2017,3,23,3,2,5,2,2
2017,3,24,3,2,1,0,0
2017,3,24,3,2,2,0,0
2017,3,24,3,2,3,0,0
2017,3,24,3,2,4,0,0
2017,3,24,3,2,5,2,2
2017,3,25,3,2,1,0,0
2017,3,25,3,2,2,0,0
2017,3,25,3,2,3,0,0
2017,3,25,3,2,4,0,0
2017,3,25,3,2,5,2,2
2017,3,26,3,3,1,0,0
2017,3,26,3,3,2,0,0
2017,3,26,3,3,3,0,0
2017,3,26,3,3,4,0,0
2017,3,26,3,3,5,3,2
2017,4,1,1,2,1,0,0
2017,4,1,1,2,2,0,0
2017,4,1,1,2,3,0,0
2017,4,1,1,2,4,1,1
2017,4,1,1,2,5,2,1
2017,4,2,1,3,1,0,0
2017,4,2,1,3,2,0,0
2017,4,2,1,3,3,0,0
2017,4,2,1,3,4,2,2
2017,4,2,1,3,5,3,2
2017,4,3,1,4,1,0,0
2017,4,3,1,4,2,0,0
2017,4,3,1,4,3,0,0
2017,4,3,1,4,4,0,0
2017,4,3,1,4,5,2,1
2017,4,4,1,4,1,0,0
2017,4,4,1,4,2,0,0
2017,4,4,1,4,3,1,1
2017,4,4,1,4,4,1,1
2017,4,4,1,4,5,1,1
2017,4,5,1,4,1,0,0
2017,4,5,1,4,2,0,0
2017,4,5,1,4,3,0,0
2017,4,5,1,4,4,0,0
2017,4,5,1,4,5,1,1
2017,4,6,1,2,1,0,0
2017,4,6,1,2,2,0,0
2017,4,6,1,2,3,0,0
2017,4,6,1,2,4,2,2
2017,4,6,1,2,5,4,3
2017,4,7,1,2,1,0,0
2017,4,7,1,2,2,0,0
2017,4,7,1,2,3,0,0
2017,4,7,1,2,4,1,1
2017,4,7,1,2,5,5,3
2017,4,10,2,2,1,0,0
2017,4,10,2,2,2,0,0
2017,4,10,2,2,3,0,0
2017,4,10,2,2,4,2,2
2017,4,10,2,2,5,3,2
2017,4,11,2,3,1,0,0
2017,4,11,2,3,2,1,1
2017,4,11,2,3,3,1,1
2017,4,11,2,3,4,1,1
2017,4,11,2,3,5,2,1
2017,4,12,2,4,1,0,0
2017,4,12,2,4,2,0,0
2017,4,12,2,4,3,0,0
2017,4,12,2,4,4,1,1
2017,4,12,2,4,5,2,1
2017,4,13,2,3,1,0,0
2017,4,13,2,3,2,0,0
2017,4,13,2,3,3,0,0
2017,4,13,2,3,4,1,1
2017,4,13,2,3,5,2,1
2017,4,14,2,3,1,0,0
2017,4,14,2,3,2,0,0
2017,4,14,2,3,3,0,0
2017,4,14,2,3,4,0,0
2017,4,14,2,3,5,1,1
2017,4,16,2,4,1,0,0
2017,4,16,2,4,2,0,0
2017,4,16,2,4,3,1,1
2017,4,16,2,4,4,1,1
2017,4,16,2,4,5,4,4
2017,4,17,2,2,1,0,0
2017,4,17,2,2,2,0,0
2017,4,17,2,2,3,0,0
2017,4,17,2,2,4,0,0
2017,4,17,2,2,5,2,2
2017,4,18,2,4,1,0,0
2017,4,18,2,4,2,0,0
2017,4,18,2,4,3,1,1
2017,4,18,2,4,4,3,2
2017,4,18,2,4,5,3,2
2017,4,19,3,3,1,0,0
2017,4,19,3,3,2,0,0
2017,4,19,3,3,3,0,0
2017,4,19,3,3,4,1,1
2017,4,19,3,3,5,1,1
2017,4,20,3,4,1,0,0
2017,4,20,3,4,2,0,0
2017,4,20,3,4,3,0,0
2017,4,20,3,4,4,3,2
2017,4,20,3,4,5,4,3
2017,4,21,3,4,1,0,0
2017,4,21,3,4,2,0,0
2017,4,21,3,4,3,0,0
2017,4,21,3,4,4,1,1
2017,4,21,3,4,5,2,2
2017,4,22,3,3,1,0,0
2017,4,22,3,3,2,0,0
2017,4,22,3,3,3,1,1
2017,4,22,3,3,4,0,0
2017,4,22,3,3,5,3,3
2017,4,25,3,2,1,0,0
2017,4,25,3,2,2,0,0
2017,4,25,3,2,3,0,0
2017,4,25,3,2,4,0,0
2017,4,25,3,2,5,2,2
2017,4,26,3,4,1,0,0
2017,4,26,3,4,2,1,1
2017,4,26,3,4,3,0,0
2017,4,26,3,4,4,1,1
2017,4,26,3,4,5,2,2
2017,4,27,3,2,1,0,0
2017,4,27,3,2,2,0,0
2017,4,27,3,2,3,0,0
2017,4,27,3,2,4,0,0
2017,4,27,3,2,5,4,3
2018,5,2,1,4,1,0,0
2018,5,2,1,4,2,0,0
2018,5,2,1,4,3,0,0
2018,5,2,1,4,4,0,0
2018,5,2,1,4,5,1,1
2018,5,5,1,4,1,0,0
2018,5,5,1,4,2,0,0
2018,5,5,1,4,3,0,0
2018,5,5,1,4,4,2,1
2018,5,5,1,4,5,1,1
2018,5,11,2,4,1,0,0
2018,5,11,2,4,2,0,0
2018,5,11,2,4,3,0,0
2018,5,11,2,4,4,0,0
2018,5,11,2,4,5,1,1
2018,5,27,3,4,1,0,0
2018,5,27,3,4,2,0,0
2018,5,27,3,4,3,0,0
2018,5,27,3,4,4,0,0
2018,5,27,3,4,5,3,3
2018,6,2,1,4,1,0,0
2018,6,2,1,4,2,0,0
2018,6,2,1,4,3,0,0
2018,6,2,1,4,4,0,0
2018,6,2,1,4,5,2,2
2018,6,12,2,4,1,0,0
2018,6,12,2,4,2,0,0
2018,6,12,2,4,3,1,1
2018,6,12,2,4,4,1,0
2018,6,12,2,4,5,3,3
2018,6,23,3,4,1,0,0
2018,6,23,3,4,2,0,0
2018,6,23,3,4,3,0,0
2018,6,23,3,4,4,0,0
2018,6,23,3,4,5,2,2
2018,6,25,3,4,1,0,0
2018,6,25,3,4,2,0,0
2018,6,25,3,4,3,0,0
2018,6,25,3,4,4,1,1
2018,6,25,3,4,5,4,3
2018,6,29,4,4,1,0,0
2018,6,29,4,4,2,0,0
2018,6,29,4,4,3,0,0
2018,6,29,4,4,4,2,2
2018,6,29,4,4,5,3,2
2018,6,30,4,4,1,0,0
2018,6,30,4,4,2,0,0
2018,6,30,4,4,3,0,0
2018,6,30,4,4,4,0,0
2018,6,30,4,4,5,3,2
2018,6,37,5,4,1,0,0
2018,6,37,5,4,2,0,0
2018,6,37,5,4,3,1,1
2018,6,37,5,4,4,1,1
2018,6,37,5,4,5,2,1
2018,6,42,5,4,1,0,0
2018,6,42,5,4,2,0,0
2018,6,42,5,4,3,0,0
2018,6,42,5,4,4,1,1
2018,6,42,5,4,5,3,2
2018,6,50,6,4,1,0,0
2018,6,50,6,4,2,0,0
2018,6,50,6,4,3,1,1
2018,6,50,6,4,4,1,1
2018,6,50,6,4,5,4,3
2018,6,51,6,4,1,0,0
2018,6,51,6,4,2,0,0
2018,6,51,6,4,3,0,0
2018,6,51,6,4,4,0,0
2018,6,51,6,4,5,2,2
2018,6,52,6,4,1,0,0
2018,6,52,6,4,2,1,1
2018,6,52,6,4,3,1,1
2018,6,52,6,4,4,2,1
2018,6,52,6,4,5,3,3
2018,6,70,8,4,1,0,0
2018,6,70,8,4,2,0,0
2018,6,70,8,4,3,0,0
2018,6,70,8,4,4,1,1
2018,6,70,8,4,5,5,4
2018,6,77,9,4,1,0,0
2018,6,77,9,4,2,0,0
2018,6,77,9,4,3,0,0
2018,6,77,9,4,4,3,3
2018,6,77,9,4,5,2,1
2018,7,2,1,4,1,0,0
2018,7,2,1,4,2,0,0
2018,7,2,1,4,3,0,0
2018,7,2,1,4,4,1,1
2018,7,2,1,4,5,4,4
2018,7,9,1,4,1,0,0
2018,7,9,1,4,2,1,1
2018,7,9,1,4,3,0,0
2018,7,9,1,4,4,1,1
2018,7,9,1,4,5,3,3
2018,7,16,3,4,1,0,0
2018,7,16,3,4,2,0,0
2018,7,16,3,4,3,0,0
2018,7,16,3,4,4,1,1
2018,7,16,3,4,5,2,2
2018,7,17,3,4,1,0,0
2018,7,17,3,4,2,0,0
2018,7,17,3,4,3,1,1
2018,7,17,3,4,4,1,1
2018,7,17,3,4,5,2,2
2018,7,18,3,4,1,0,0
2018,7,18,3,4,2,0,0
2018,7,18,3,4,3,0,0
2018,7,18,3,4,4,0,0
2018,7,18,3,4,5,2,2
2018,7,20,4,4,1,0,0
2018,7,20,4,4,2,0,0
2018,7,20,4,4,3,0,0
2018,7,20,4,4,4,0,0
2018,7,20,4,4,5,3,3
2018,7,30,6,4,1,0,0
2018,7,30,6,4,2,0,0
2018,7,30,6,4,3,1,1
2018,7,30,6,4,4,2,1
2018,7,30,6,4,5,4,3
2018,7,31,6,4,1,0,0
2018,7,31,6,4,2,0,0
2018,7,31,6,4,3,0,0
2018,7,31,6,4,4,0,0
2018,7,31,6,4,5,2,2
