Year,Trial,ID,Block,NumPlants,DaysToMove,MoveInstar,MoveInstar.5,LarvalWgt (g),Leaves,Biomass,PlantRank,TimesObs,MoveOnNatal,LT,LM,LB,SNV,ST,SB,SS,LogBiomass
2018,5,1,1,2,6,4,4,0.3,5,72.98343906,4,12,0.523598776,0.785398163,0.420534335,0.615479709,0.615479709,0.292842772,0.869122203,0,0.784043078
2018,5,2,1,4,11,5,5,NA,9,809.9598406,2,21,0.665196055,0.905600272,0.563942641,0.313727886,0.451633441,0.563942641,0.761579632,0.219987977,1.586244192
2018,5,5,1,4,4,4,4,NA,3,40.07060624,NA,7,0.857071948,1.570796327,0,0,0.563942641,0.713724379,0.563942641,0,0.757727873
2018,5,6,1,2,10,5,5,1.31,15,923.0181571,4,20,0.684719203,0.735314453,0.57963974,0.463647609,0,0.523598776,1.047197551,0,1.664180249
2018,5,7,1,3,6,4,4,0.45,7,109.8508371,NA,11,0.647284848,0.830915552,0.440510663,0.549467245,0.440510663,0.549467245,0.830915552,0,0.999410686
2018,5,8,1,3,6,4,4.5,0.31,6,127.356687,NA,11,0.440510663,1.264518958,0,0.306277369,0.549467245,0.306277369,0.923511479,0,1.063629068
2018,5,9,1,3,5,4,4,0.19,4,66.58171416,NA,10,0,1.570796327,0,0,0.684719203,0.57963974,0.57963974,0,0.823354972
2018,5,10,2,3,7,4,4.5,0.31,6,204.6820951,3,14,0.270549763,1.18319964,0.387596687,0,0.785398163,0.270549763,0.713724379,0,1.164951818
2018,5,11,2,4,10,5,5,NA,13,1390.627127,3,20,0.93774449,0.785398163,0.57963974,0.463647609,0.225513406,0.463647609,1.047197551,0,1.842180701
2018,5,15,2,2,5,4,4.5,0.35,6,172.2493549,NA,10,0.321750554,1.249045772,0.321750554,0,0.57963974,0.684719203,0.57963974,0,1.236157604
2018,5,17,2,2,10,5,5,1.6,11,675.4336118,2,19,0.759070209,0.811726118,0.706119023,0.231477364,0,0.231477364,1.162158472,0.330422648,1.550829068
2018,5,18,2,3,7,4,4.5,0.31,6,146.1188238,4,13,0.746898593,0.901832253,0.588002604,0,0.588002604,0.501093013,0.746898593,0,1.050762815
2018,5,20,3,3,5,4,4,0.05,4,40.15634089,NA,9,0,1.570796327,0,0,0.729727656,0.615479709,0.490882678,0,0.649511623
2018,5,21,3,3,11,5,5,1.43,22,NA,0,22,0.923511479,0.647284848,0.785398163,0.378228192,0.306277369,0.440510663,0.923511479,0.306277369,NA
2018,5,23,3,2,10,5,5,1.3,11,1689.136949,3,20,0.523598776,0.93774449,0.633051836,0,0.397699415,0.57963974,0.835481874,0,1.926634866
2018,5,24,3,2,8,5,5,1.71,20,NA,0,16,0.361367124,0.911738291,0.593199776,0.252680255,0.593199776,0.252680255,0.911738291,0,NA
2018,5,25,3,3,3,3,3,0.03,3,5.299848683,NA,6,0,1.570796327,0,0,0.420534335,0.785398163,0.615479709,0,-0.05388778
2018,5,26,3,2,9,5,5,1.07,8,798.9053223,3,17,0.573203309,0.997593018,0.573203309,0,0.433537909,0.350105778,0.874097966,0.350105778,1.672046393
2018,5,27,3,4,9,5,5,NA,5,152.0806117,3,17,0.636132063,0.997593018,0.506444643,0,0.350105778,0.244978663,1.137258417,0,0.951624929
2018,6,2,1,4,9,5,5,NA,9,171.4861747,2,23,0.53606149,1.034734837,0.430173859,0.299334026,0,0.430173859,1.08574654,0.210055739,0.872501277
2018,6,5,1,3,7,4,4.5,0.38,7,65.20507072,3,13,0,1.289761425,0,0.281034902,0.668964074,0.403057074,0.668964074,0,0.700338018
2018,6,7,1,2,6,4,4,0.4,9,158.7366175,4,12,0.615479709,0.869122203,0.523598776,0.292842772,0.292842772,0.701674124,0.785398163,0,1.121495876
2018,6,11,2,3,6,4,4,0.33,5,67.81241988,3,12,0.420534335,1.277953555,0.292842772,0,0.615479709,0.292842772,0.869122203,0,0.752127996
2018,6,12,2,4,5,3,3,NA,7,30.81817809,2,9,0.729727656,0.955316618,0.339836909,0.490882678,0,0.490882678,1.079913649,0,0.534564451
2018,6,14,2,3,5,4,4,0.26,4,74.62253502,4,10,0.463647609,1.249045772,0.321750554,0,0.321750554,0.321750554,1.107148718,0,0.872869998
2018,6,19,3,2,3,2,2.5,0.01,3,12.15121108,3,5,0.463647609,0.684719203,0.684719203,0,0,0.684719203,0.886077124,0,0.385649561
2018,6,20,3,3,4,2,2.5,0.01,2,11.58170628,4,7,0,1.570796327,0,0,1.006853685,0.563942641,0,0,0.218674507
2018,6,22,3,3,5,3,3,0.06,3,28.08748136,2,9,0.490882678,1.230959417,0.339836909,0,0.841068671,0.339836909,0.615479709,0,0.494270288
2018,6,23,3,4,8,5,5,NA,10,531.8760481,1,15,0.373792175,1.028157225,0.463647609,0,0.615479709,0.463647609,0.752040089,0,1.549719174
2018,6,25,3,4,6,4,4.5,NA,4,91.87186113,2,12,0.420534335,1.277953555,0.292842772,0,0.420534335,0.292842772,1.047197551,0,0.884001268
2018,6,26,3,2,3,2,2.5,0.02,4,11.14501355,4,5,0,1.570796327,0,0,0.886077124,0.463647609,0.463647609,0,0.348110596
2018,6,28,4,2,6,4,4.5,0.42,6,69.53192119,2,12,0.420534335,1.150261992,0.420534335,0,0.615479709,0.292842772,0.869122203,0,0.763002983
2018,6,29,4,4,6,4,4,NA,8,52.2275247,2,11,0.739880774,0.923511479,0.549467245,0.306277369,0.647284848,0.306277369,0.830915552,0,0.676506758
2018,6,30,4,4,9,5,5,NA,NA,NA,0,17,0.350105778,1.220690549,0.350105778,0,0.350105778,0.244978663,1.137258417,0,NA
2018,6,33,4,3,6,4,4,0.42,3,31.19404311,4,12,0.420534335,1.277953555,0.292842772,0,0.785398163,0.292842772,0.701674124,0,0.414890422
2018,6,34,4,2,8,5,5,1.4,2,45.23751828,2,16,0.659058036,0.785398163,0.659058036,0.252680255,0.252680255,0.361367124,1.12296393,0,0.451378789
2018,6,36,4,2,4,2,2.5,0.01,7,9.959226489,3,7,0.387596687,1.18319964,0.387596687,0,0,0.387596687,1.18319964,0,0.153127569
2018,6,37,5,4,4,3,3,NA,1,3.424619123,2,7,0,1.570796327,0,0,0,1.006853685,0.563942641,0,-0.310485763
2018,6,38,5,3,6,4,4,0.43,1,16.91250419,4,12,0,1.570796327,0,0,0.523598776,0.420534335,0.869122203,0,0.149026671
2018,6,39,5,2,7,4,4.5,0.34,6,154.7724146,3,14,0.563942641,0.857071948,0.713724379,0,0.387596687,0.481275374,0.930274014,0,1.043565522
2018,6,40,5,2,8,4,4.5,0.34,8,103.5816721,3,15,0.542639102,0.955316618,0.463647609,0.373792175,0.542639102,0.373792175,0.818756238,0.261157411,0.839191658
2018,6,41,5,2,8,5,5,0.65,NA,NA,0,15,0.684719203,0.886077124,0.261157411,0.615479709,0,0.261157411,1.309638916,0,NA
2018,6,42,5,4,6,4,4,NA,5,170.0336562,2,12,0.420534335,1.047197551,0.523598776,0,0.523598776,0.292842772,0.955316618,0,1.151353647
2018,6,43,5,3,10,5,5,0.96,NA,NA,0,20,0.463647609,1.047197551,0.523598776,0,0.684719203,0.225513406,0.785398163,0.225513406,NA
2018,6,45,5,3,3,2,2.5,0.01,3,8.111352026,3,5,0,1.570796327,0,0,0.684719203,0.463647609,0.684719203,0,0.210123245
2018,6,47,6,3,6,4,4.5,0.4,5,38.76970164,2,12,0.785398163,0.869122203,0.701674124,0,0,0.420534335,1.150261992,0,0.509311213
2018,6,50,6,4,4,3,3,NA,3,9.620834702,4,7,0,1.570796327,0,0,0.387596687,0.387596687,1.006853685,0,0.138114713
2018,6,51,6,4,9,5,5,NA,NA,NA,0,17,0.433537909,0.696698361,0.814826916,0.244978663,0,0.433537909,1.064351683,0.244978663,NA
2018,6,52,6,4,3,2,2.5,NA,4,14.10960351,3,5,0,1.570796327,0,0,0.463647609,0.463647609,0.886077124,0,0.450544806
2018,6,53,6,3,4,3,3.5,0.09,2,20.8342515,4,8,0.523598776,0.785398163,0.785398163,0,0,0.659058036,0.911738291,0,0.415687915
2018,6,54,6,3,5,4,4,0.09,6,23.7075509,2,9,0.339836909,0.841068671,0.729727656,0,0,0.339836909,1.230959417,0,0.420644182
2018,6,55,7,3,5,3,3.5,,2,31.24557679,3,9,0,1.570796327,0,0,0.841068671,0.490882678,0.490882678,0,0.540546037
2018,6,56,7,3,3,3,3,,3,13.36215161,4,6,0,1.570796327,0,0,0,0.420534335,1.150261992,0,0.347725145
2018,6,58,7,3,10,5,5,,5,88.97373082,2,19,0.476679612,1.162158472,0.408637855,0,0.231477364,0.330422648,1.162158472,0,0.670508201
2018,6,60,7,2,4,3,3,,3,9.963736341,4,7,0,1.570796327,0,0,0.563942641,0.387596687,0.713724379,0,0.153324187
2018,6,67,8,2,5,3,3.5,,6,18.56835353,3,10,0.57963974,0.991156586,0.57963974,0,0.463647609,0.321750554,0.991156586,0,0.268773396
2018,6,69,8,3,5,3,3.5,,4,31.7399589,3,9,0.955316618,0.841068671,0.615479709,0,0.339836909,0.615479709,0.841068671,0,0.547363851
2018,6,70,8,4,6,4,4.5,,12,81.70903668,3,12,0.615479709,0.869122203,0.523598776,0.420534335,0,0.292842772,1.277953555,0,0.833088844
2018,6,72,8,3,9,5,5,,NA,NA,1,17,0.433537909,0.997593018,0.573203309,0,0.573203309,0.244978663,0.934664264,0,NA
2018,6,73,9,2,6,4,4.5,,7,56.98579143,1,12,0.523598776,0.955316618,0.523598776,0.292842772,0.701674124,0.292842772,0.785398163,0,0.676585338
2018,6,77,9,4,7,4,4,,6,47.56207697,4,13,0.281034902,1.289761425,0.281034902,0,0.746898593,0.281034902,0.746898593,0,0.563317459
2018,6,79,9,3,4,3,3.5,,3,19.50243688,3,8,0.523598776,1.209429203,0.361367124,0,0,0.523598776,1.047197551,0,0.386998894
2018,6,80,9,3,6,4,4.5,,7,180,0,12,0.420534335,1.047197551,0,0.523598776,0.292842772,0.523598776,0.869122203,0.292842772,1.176091259
2018,7,1,1,2,5,4,4,,5,21.08032161,3,9,0.339836909,0.615479709,0.955316618,0,0,0.490882678,1.079913649,0,0.369634723
2018,7,2,1,4,7,4,4,,7,47.48625904,0,14,0.640522313,0.785398163,0.713724379,0,0.481275374,0.387596687,0.930274014,0,0.530439922
2018,7,3,1,2,7,4,4.5,,3,133.6356286,1,14,0.481275374,1.18319964,0.387596687,0,0.640522313,0.481275374,0.713724379,0,0.979794225
2018,7,5,1,3,3,2,2,,3,2.016720455,4,6,0.420534335,1.150261992,0.420534335,0,0.785398163,0.615479709,0.420534335,0,-0.473505547
2018,7,9,1,4,3,2,2,,4,3.185203878,3,6,0.955316618,0.420534335,0.615479709,0.785398163,0,0.615479709,0.955316618,0,-0.275014015
2018,7,11,3,2,6,4,4,,9,133.5838615,3,11,0.647284848,0.923511479,0.647284848,0,0.440510663,0.306277369,0.923511479,0.306277369,1.084361308
2018,7,12,3,3,9,5,5,,12,1232.930285,1,18,0.785398163,0.841068671,0.490882678,0.490882678,0.490882678,0.237941125,1.015675159,0,1.835666015
2018,7,13,3,3,7,4,4.5,,7,196.9114327,4,14,0.713724379,1.006853685,0.563942641,0,0.563942641,0.387596687,0.857071948,0,1.148142896
2018,7,15,3,2,8,4,4,,9,93.55973297,2,16,0.722734248,0.447832397,0.911738291,0.361367124,0,0.252680255,1.318116072,0,0.766968991
2018,7,16,3,4,7,4,4,,2,53.28250227,4,14,0,1.570796327,0,0,0.785398163,0.270549763,0.713724379,0,0.580456576
2018,7,17,3,4,4,3,3,,7,35.32320386,3,8,0,1.570796327,0,0,0.523598776,0.361367124,0.911738291,0,0.644970101
2018,7,18,3,4,11,5,5,,6,NA,0,21,0.313727886,1.061056648,0.387596687,0.313727886,0.713724379,0.451633441,0.563942641,0,NA
2018,7,20,4,4,9,5,5,,14,NA,0,18,0.420534335,1.230959417,0.339836909,0,0.785398163,0.237941125,0.729727656,0,NA
2018,7,21,4,3,9,5,5,,10,1000,0,17,0.75596941,0.75596941,0.636132063,0.433537909,0.433537909,0.244978663,1.064351683,0,1.769551079
2018,7,22,4,3,7,4,4,,6,35.48215621,2,13,0.746898593,0.982793723,0.403057074,0.403057074,0.281034902,0.281034902,1.069703314,0.281034902,0.436066651
2018,7,23,4,3,8,4,4.5,,4,400,1,15,0,1.570796327,0,0,0.886077124,0.542639102,0.373792175,0,1.425968732
2018,7,26,4,2,6,4,4,,6,76.19383578,3,12,0.523598776,1.047197551,0.292842772,0.420534335,0.701674124,0.615479709,0.523598776,0,0.802738591
2018,7,28,6,2,8,4,4.5,,7,106.1296145,2,15,0.684719203,1.107148718,0.463647609,0,0.542639102,0.261157411,0.955316618,0,0.849745328
2018,7,30,6,4,5,3,3.5,,5,45.49467131,3,10,0.684719203,0.886077124,0.684719203,0,0.321750554,0.463647609,0.991156586,0,0.657960532
2018,7,31,6,4,9,5,5,,10,NA,0,18,0.673351617,1.015675159,0.555121168,0,0.420534335,0.339836909,0.89744471,0.339836909,NA
2018,7,33,6,2,7,4,4,,8,121.9899665,3,13,0.588002604,0.901832253,0.501093013,0.403057074,0.403057074,0.403057074,0.901832253,0.281034902,0.97238076
2018,7,35,6,3,8,5,5,,NA,NA,0,15,0.615479709,0.886077124,0.615479709,0.261157411,0.373792175,0.373792175,1.028157225,0,NA
