Year,Trial,Block,Cage,NumPlants,LeafSurf,SurRelativeTime
2018,5,1,1,2,Top,0.076923077
2018,5,1,2,4,Top,0.285714286
2018,5,1,5,4,Top,0.157894737
2018,5,1,6,2,Top,0.238095238
2018,5,1,7,3,Top,0.25
2018,5,1,8,3,Top,0.090909091
2018,5,1,9,3,Top,0.272727273
2018,5,2,10,3,Top,0.071428571
2018,5,2,11,4,Top,0.181818182
2018,5,2,15,2,Top,0.363636364
2018,5,2,17,2,Top,0.05
2018,5,2,18,3,Top,0.230769231
2018,5,3,20,3,Top,0.333333333
2018,5,3,21,3,Top,0.173913043
2018,5,3,23,2,Top,0.285714286
2018,5,3,24,2,Top,0.058823529
2018,5,3,25,3,Top,0.428571429
2018,5,3,26,2,Top,0.111111111
2018,5,3,27,4,Top,0.1
2018,6,1,2,4,Top,0.173913043
2018,6,1,5,3,Top,0.153846154
2018,6,1,7,2,Top,0.416666667
2018,6,2,11,3,Top,0.083333333
2018,6,2,12,4,Top,0.15
2018,6,2,14,3,Top,0.090909091
2018,6,3,19,2,Top,0.4
2018,6,3,20,3,Top,0.285714286
2018,6,3,22,3,Top,0.111111111
2018,6,3,23,4,Top,0.15
2018,6,3,25,4,Top,0.181818182
2018,6,3,26,2,Top,0.2
2018,6,4,28,2,Top,0.083333333
2018,6,4,29,4,Top,0.047619048
2018,6,4,30,4,Top,0.045454545
2018,6,4,33,3,Top,0.083333333
2018,6,4,34,2,Top,0.176470588
2018,6,4,36,2,Top,0.142857143
2018,6,5,37,4,Top,0.272727273
2018,6,5,38,3,Top,0.166666667
2018,6,5,39,2,Top,0.2
2018,6,5,40,2,Top,0.133333333
2018,6,5,41,2,Top,0.0625
2018,6,5,42,4,Top,0.047619048
2018,6,5,43,3,Top,0.047619048
2018,6,5,45,3,Top,0.2
2018,6,6,47,3,Top,0.166666667
2018,6,6,50,4,Top,0.055555556
2018,6,6,51,4,Top,0.130434783
2018,6,6,52,4,Top,0.045454545
2018,6,6,53,3,Top,0.333333333
2018,6,6,54,3,Top,0.111111111
2018,6,7,55,3,Top,0.222222222
2018,6,7,56,3,Top,0.142857143
2018,6,7,58,3,Top,0.105263158
2018,6,7,60,2,Top,0.142857143
2018,6,8,67,2,Top,0.1
2018,6,8,69,3,Top,0.333333333
2018,6,8,70,4,Top,0.04
2018,6,8,72,3,Top,0.055555556
2018,6,9,73,2,Top,0.083333333
2018,6,9,77,4,Top,0.045454545
2018,6,9,79,3,Top,0.333333333
2018,6,9,80,3,Top,0.25
2018,7,1,1,2,Top,0.222222222
2018,7,1,2,4,Top,0.12
2018,7,1,3,2,Top,0.230769231
2018,7,1,5,3,Top,0.285714286
2018,7,1,9,4,Top,0.19047619
2018,7,3,11,2,Top,0.090909091
2018,7,3,12,3,Top,0.105263158
2018,7,3,13,3,Top,0.142857143
2018,7,3,15,2,Top,0.058823529
2018,7,3,16,4,Top,0.115384615
2018,7,3,17,4,Top,0.045454545
2018,7,3,18,4,Top,0.230769231
2018,7,4,20,4,Top,0.130434783
2018,7,4,21,3,Top,0.055555556
2018,7,4,22,3,Top,0.071428571
2018,7,4,23,3,Top,0.266666667
2018,7,4,26,2,Top,0.333333333
2018,7,6,28,2,Top,0.066666667
2018,7,6,30,4,Top,0.173913043
2018,7,6,31,4,Top,0.125
2018,7,6,33,2,Top,0.153846154
2018,7,6,35,3,Top,0.125
2018,5,1,1,2,New Growth,0.307692308
2018,5,1,2,4,New Growth,0.19047619
2018,5,1,5,4,New Growth,0.105263158
2018,5,1,6,2,New Growth,0
2018,5,1,7,3,New Growth,0.166666667
2018,5,1,8,3,New Growth,0.272727273
2018,5,1,9,3,New Growth,0.454545455
2018,5,2,10,3,New Growth,0.5
2018,5,2,11,4,New Growth,0.045454545
2018,5,2,15,2,New Growth,0.272727273
2018,5,2,17,2,New Growth,0
2018,5,2,18,3,New Growth,0.307692308
2018,5,3,20,3,New Growth,0.444444444
2018,5,3,21,3,New Growth,0.086956522
2018,5,3,23,2,New Growth,0.142857143
2018,5,3,24,2,New Growth,0.294117647
2018,5,3,25,3,New Growth,0.142857143
2018,5,3,26,2,New Growth,0.166666667
2018,5,3,27,4,New Growth,0.1
2018,6,1,2,4,New Growth,0
2018,6,1,5,3,New Growth,0.461538462
2018,6,1,7,2,New Growth,0.083333333
2018,6,2,11,3,New Growth,0.333333333
2018,6,2,12,4,New Growth,0.05
2018,6,2,14,3,New Growth,0.090909091
2018,6,3,19,2,New Growth,0
2018,6,3,20,3,New Growth,0.714285714
2018,6,3,22,3,New Growth,0.555555556
2018,6,3,23,4,New Growth,0.25
2018,6,3,25,4,New Growth,0.090909091
2018,6,3,26,2,New Growth,0.6
2018,6,4,28,2,New Growth,0.333333333
2018,6,4,29,4,New Growth,0.19047619
2018,6,4,30,4,New Growth,0.090909091
2018,6,4,33,3,New Growth,0.5
2018,6,4,34,2,New Growth,0.058823529
2018,6,4,36,2,New Growth,0
2018,6,5,37,4,New Growth,0
2018,6,5,38,3,New Growth,0.25
2018,6,5,39,2,New Growth,0.133333333
2018,6,5,40,2,New Growth,0.266666667
2018,6,5,41,2,New Growth,0
2018,6,5,42,4,New Growth,0.19047619
2018,6,5,43,3,New Growth,0.380952381
2018,6,5,45,3,New Growth,0.4
2018,6,6,47,3,New Growth,0
2018,6,6,50,4,New Growth,0.111111111
2018,6,6,51,4,New Growth,0
2018,6,6,52,4,New Growth,0.090909091
2018,6,6,53,3,New Growth,0
2018,6,6,54,3,New Growth,0
2018,6,7,55,3,New Growth,0.555555556
2018,6,7,56,3,New Growth,0.142857143
2018,6,7,58,3,New Growth,0.052631579
2018,6,7,60,2,New Growth,0.285714286
2018,6,8,67,2,New Growth,0.2
2018,6,8,69,3,New Growth,0.111111111
2018,6,8,70,4,New Growth,0
2018,6,8,72,3,New Growth,0.333333333
2018,6,9,73,2,New Growth,0.416666667
2018,6,9,77,4,New Growth,0.318181818
2018,6,9,79,3,New Growth,0
2018,6,9,80,3,New Growth,0.083333333
2018,7,1,1,2,New Growth,0
2018,7,1,2,4,New Growth,0.12
2018,7,1,3,2,New Growth,0.307692308
2018,7,1,5,3,New Growth,0.428571429
2018,7,1,9,4,New Growth,0.095238095
2018,7,3,11,2,New Growth,0.181818182
2018,7,3,12,3,New Growth,0.210526316
2018,7,3,13,3,New Growth,0.285714286
2018,7,3,15,2,New Growth,0
2018,7,3,16,4,New Growth,0.307692308
2018,7,3,17,4,New Growth,0.090909091
2018,7,3,18,4,New Growth,0.346153846
2018,7,4,20,4,New Growth,0.391304348
2018,7,4,21,3,New Growth,0.166666667
2018,7,4,22,3,New Growth,0.071428571
2018,7,4,23,3,New Growth,0.6
2018,7,4,26,2,New Growth,0.416666667
2018,7,6,28,2,New Growth,0.266666667
2018,7,6,30,4,New Growth,0.130434783
2018,7,6,31,4,New Growth,0.125
2018,7,6,33,2,New Growth,0.153846154
2018,7,6,35,3,New Growth,0.1875
2018,5,1,1,2,Underside,0.615384615
2018,5,1,2,4,Underside,0.476190476
2018,5,1,5,4,Underside,0.684210526
2018,5,1,6,2,Underside,0.761904762
2018,5,1,7,3,Underside,0.583333333
2018,5,1,8,3,Underside,0.636363636
2018,5,1,9,3,Underside,0.272727273
2018,5,2,10,3,Underside,0.428571429
2018,5,2,11,4,Underside,0.772727273
2018,5,2,15,2,Underside,0.363636364
2018,5,2,17,2,Underside,0.85
2018,5,2,18,3,Underside,0.461538462
2018,5,3,20,3,Underside,0.222222222
2018,5,3,21,3,Underside,0.652173913
2018,5,3,23,2,Underside,0.571428571
2018,5,3,24,2,Underside,0.647058824
2018,5,3,25,3,Underside,0.428571429
2018,5,3,26,2,Underside,0.611111111
2018,5,3,27,4,Underside,0.75
2018,6,1,2,4,Underside,0.782608696
2018,6,1,5,3,Underside,0.384615385
2018,6,1,7,2,Underside,0.5
2018,6,2,11,3,Underside,0.583333333
2018,6,2,12,4,Underside,0.65
2018,6,2,14,3,Underside,0.818181818
2018,6,3,19,2,Underside,0.6
2018,6,3,20,3,Underside,0
2018,6,3,22,3,Underside,0.333333333
2018,6,3,23,4,Underside,0.5
2018,6,3,25,4,Underside,0.681818182
2018,6,3,26,2,Underside,0.2
2018,6,4,28,2,Underside,0.583333333
2018,6,4,29,4,Underside,0.714285714
2018,6,4,30,4,Underside,0.863636364
2018,6,4,33,3,Underside,0.416666667
2018,6,4,34,2,Underside,0.764705882
2018,6,4,36,2,Underside,0.857142857
2018,6,5,37,4,Underside,0.681818182
2018,6,5,38,3,Underside,0.583333333
2018,6,5,39,2,Underside,0.666666667
2018,6,5,40,2,Underside,0.533333333
2018,6,5,41,2,Underside,0.9375
2018,6,5,42,4,Underside,0.714285714
2018,6,5,43,3,Underside,0.523809524
2018,6,5,45,3,Underside,0.4
2018,6,6,47,3,Underside,0.833333333
2018,6,6,50,4,Underside,0.666666667
2018,6,6,51,4,Underside,0.782608696
2018,6,6,52,4,Underside,0.818181818
2018,6,6,53,3,Underside,0.666666667
2018,6,6,54,3,Underside,0.888888889
2018,6,7,55,3,Underside,0.222222222
2018,6,7,56,3,Underside,0.714285714
2018,6,7,58,3,Underside,0.842105263
2018,6,7,60,2,Underside,0.571428571
2018,6,8,67,2,Underside,0.7
2018,6,8,69,3,Underside,0.555555556
2018,6,8,70,4,Underside,0.96
2018,6,8,72,3,Underside,0.611111111
2018,6,9,73,2,Underside,0.5
2018,6,9,77,4,Underside,0.636363636
2018,6,9,79,3,Underside,0.666666667
2018,6,9,80,3,Underside,0.583333333
2018,7,1,1,2,Underside,0.777777778
2018,7,1,2,4,Underside,0.56
2018,7,1,3,2,Underside,0.461538462
2018,7,1,5,3,Underside,0.285714286
2018,7,1,9,4,Underside,0.666666667
2018,7,3,11,2,Underside,0.636363636
2018,7,3,12,3,Underside,0.684210526
2018,7,3,13,3,Underside,0.571428571
2018,7,3,15,2,Underside,0.941176471
2018,7,3,16,4,Underside,0.461538462
2018,7,3,17,4,Underside,0.863636364
2018,7,3,18,4,Underside,0.269230769
2018,7,4,20,4,Underside,0.391304348
2018,7,4,21,3,Underside,0.777777778
2018,7,4,22,3,Underside,0.785714286
2018,7,4,23,3,Underside,0.133333333
2018,7,4,26,2,Underside,0.25
2018,7,6,28,2,Underside,0.666666667
2018,7,6,30,4,Underside,0.608695652
2018,7,6,31,4,Underside,0.666666667
2018,7,6,33,2,Underside,0.615384615
2018,7,6,35,3,Underside,0.6875
2018,5,1,1,2,Stem,0
2018,5,1,2,4,Stem,0.047619048
2018,5,1,5,4,Stem,0.052631579
2018,5,1,6,2,Stem,0
2018,5,1,7,3,Stem,0
2018,5,1,8,3,Stem,0
2018,5,1,9,3,Stem,0
2018,5,2,10,3,Stem,0
2018,5,2,11,4,Stem,0
2018,5,2,15,2,Stem,0
2018,5,2,17,2,Stem,0.1
2018,5,2,18,3,Stem,0
2018,5,3,20,3,Stem,0
2018,5,3,21,3,Stem,0.086956522
2018,5,3,23,2,Stem,0
2018,5,3,24,2,Stem,0
2018,5,3,25,3,Stem,0
2018,5,3,26,2,Stem,0.111111111
2018,5,3,27,4,Stem,0.05
2018,6,1,2,4,Stem,0.043478261
2018,6,1,5,3,Stem,0
2018,6,1,7,2,Stem,0
2018,6,2,11,3,Stem,0
2018,6,2,12,4,Stem,0.15
2018,6,2,14,3,Stem,0
2018,6,3,19,2,Stem,0
2018,6,3,20,3,Stem,0
2018,6,3,22,3,Stem,0
2018,6,3,23,4,Stem,0.1
2018,6,3,25,4,Stem,0.045454545
2018,6,3,26,2,Stem,0
2018,6,4,28,2,Stem,0
2018,6,4,29,4,Stem,0.047619048
2018,6,4,30,4,Stem,0
2018,6,4,33,3,Stem,0
2018,6,4,34,2,Stem,0
2018,6,4,36,2,Stem,0
2018,6,5,37,4,Stem,0.045454545
2018,6,5,38,3,Stem,0
2018,6,5,39,2,Stem,0
2018,6,5,40,2,Stem,0.066666667
2018,6,5,41,2,Stem,0
2018,6,5,42,4,Stem,0.047619048
2018,6,5,43,3,Stem,0.047619048
2018,6,5,45,3,Stem,0
2018,6,6,47,3,Stem,0
2018,6,6,50,4,Stem,0.166666667
2018,6,6,51,4,Stem,0.086956522
2018,6,6,52,4,Stem,0.045454545
2018,6,6,53,3,Stem,0
2018,6,6,54,3,Stem,0
2018,6,7,55,3,Stem,0
2018,6,7,56,3,Stem,0
2018,6,7,58,3,Stem,0
2018,6,7,60,2,Stem,0
2018,6,8,67,2,Stem,0
2018,6,8,69,3,Stem,0
2018,6,8,70,4,Stem,0
2018,6,8,72,3,Stem,0
2018,6,9,73,2,Stem,0
2018,6,9,77,4,Stem,0
2018,6,9,79,3,Stem,0
2018,6,9,80,3,Stem,0.083333333
2018,7,1,1,2,Stem,0
2018,7,1,2,4,Stem,0.2
2018,7,1,3,2,Stem,0
2018,7,1,5,3,Stem,0
2018,7,1,9,4,Stem,0.047619048
2018,7,3,11,2,Stem,0.090909091
2018,7,3,12,3,Stem,0
2018,7,3,13,3,Stem,0
2018,7,3,15,2,Stem,0
2018,7,3,16,4,Stem,0.115384615
2018,7,3,17,4,Stem,0
2018,7,3,18,4,Stem,0.153846154
2018,7,4,20,4,Stem,0.086956522
2018,7,4,21,3,Stem,0
2018,7,4,22,3,Stem,0.071428571
2018,7,4,23,3,Stem,0
2018,7,4,26,2,Stem,0
2018,7,6,28,2,Stem,0
2018,7,6,30,4,Stem,0.086956522
2018,7,6,31,4,Stem,0.083333333
2018,7,6,33,2,Stem,0.076923077
2018,7,6,35,3,Stem,0
